Date,QQQ_Close,QQQ_Volume,^DJI_Close,^DJT_Close,Difference,SMA,STDEV,z_score,EMA
2022-01-03,392.1841125488281,40575900,36585.05859375,16302.7900390625,20282.2685546875,,,,40575900.0
2022-01-04,387.0973205566406,58027200,36799.6484375,16579.58984375,20220.05859375,,,,41288197.95918367
2022-01-05,375.2052307128906,75739800,36407.109375,16344.150390625,20062.958984375,,,,42694385.79758433
2022-01-06,374.94158935546875,70814300,36236.46875,16345.25,19891.21875,,,,43842137.39768293
2022-01-07,370.8798522949219,72652300,36231.66015625,16268.76953125,19962.890625,,,,45018062.401859134
2022-01-10,371.1239929199219,91770500,36068.87109375,16018.580078125,20050.291015625,,,,46926325.16096692
2022-01-11,376.69903564453125,68295700,36252.01953125,15990.8603515625,20261.1591796875,,,,47798544.54215194
2022-01-12,378.19287109375,54576400,36290.3203125,15971.099609375,20319.220703125,,,,48075191.70369676
2022-01-13,368.73193359375,77994000,36113.62109375,16004.5703125,20109.05078125,,,,49296367.55252546
2022-01-14,371.0263977050781,80121200,35911.80859375,15904.9599609375,20006.8486328125,,,,50554523.97895299
2022-01-18,361.7900390625,75450900,35368.46875,15657.4697265625,19710.9990234375,,,,51570702.59205695
2022-01-19,357.81622314453125,81791500,35028.6484375,15588.080078125,19440.568359375,,,,52804204.52707504
2022-01-20,353.1687927246094,88610700,34715.390625,15521.6396484375,19193.7509765625,,,,54265694.13821483
2022-01-21,343.3758544921875,143388900,34265.37109375,15247.2802734375,19018.0908203125,,,,57903376.01012442
2022-01-24,344.9477844238281,198685800,34364.5,15435.919921875,18928.580078125,,,,63649597.39746628
2022-01-25,336.95147705078125,124398400,34297.73046875,15181.3896484375,19116.3408203125,,,,66129140.360835
2022-01-26,336.4241943359375,146559500,34168.08984375,15028.6103515625,19139.4794921875,,,,69412012.18284173
2022-01-27,333.03619384765625,95255700,34160.78125,14809.9296875,19350.8515625,,,,70466856.58354206
2022-01-28,343.48333740234375,108167900,34725.46875,15048.6201171875,19676.8486328125,,,,72005674.68217298
2022-01-31,354.4673156738281,94326400,35131.859375,15282.830078125,19849.029296875,,,,72916724.69514552
2022-02-01,356.87890625,74433000,35405.23828125,15610.48046875,19794.7578125,,,,72978613.48309876
2022-02-02,359.77874755859375,78777100,35629.328125,15739.8203125,19889.5078125,,,,73215286.40215595
2022-02-03,345.19195556640625,95384800,35111.16015625,15469.080078125,19642.080078125,,,,74120164.50819041
